Gloss,Signwriting,modified
radio ,M558x537S17727504x518S1772f475x518S26611465x488S26607512x488S22100504x494S22100485x494S14c20535x463S14c28442x464,radio
radio aktiv,M558x575S17727504x480S1772f475x480S26611465x450S26607512x450S22100504x456S22100485x456S14c20535x425S14c28442x426S2d220489x552S20304514x546S20304473x547,radio aktiv
radio aktivitet,M558x575S17727504x481S1772f475x481S26611465x451S26607512x451S22100504x457S22100485x457S14c20535x426S14c28442x427S20304466x548S20304519x547S2d320482x552,radio aktivitet
radio logi,M521x601S17712493x400S14c10490x570S14c0a463x554S14c01482x479S26600493x425S36d00479x458S20500495x469S26600494x535,radio logi
radius i sirkel,M561x548S10048467x494S20500472x486S26606485x482S28b0a466x452S28b0c507x478S28b08440x477S28b0e461x528S10012531x488,radius i sirkel
raffinering,M530x587S21200470x459S26a00471x444S15a30478x413S15a50478x475S1ce10476x557S26606500x570,raffinering
raffinering,M530x572S21200470x444S26a00471x429S15a30478x461S15a50484x468S1ce10476x542S26606500x555,raffinering
raffinering,M530x558S21200492x457S26a00491x442S15a30470x447S15a50475x454S1ce10476x528S26606500x541,raffinering
rakket,M509x531S10020491x501S25e00493x470,rakket
rakket,M518x536S15a30482x492S10020487x506S20e00498x508S25f00502x465,rakket
rapport,M514x539S15a02487x470S15a00497x462S21100497x492S22b04496x509,rapport
arv,M528x526S15058473x476S26504507x510S15050502x475S26514477x511,arv
ras,M541x539S22521500x461S22521459x464S14c51514x474S14c5f473x478S25e23480x512,ras
rase,M526x555S2ff00482x483S21100508x491S22a04508x507S14c00503x524,rase
rase,M545x523S2ff00482x483S21100532x491S14c00506x491S22a04532x508,rase
rase,M529x559S2ff00482x483S21100512x525S14c00506x491S22a04512x544,rase
rask,M615x556S35c00482x483S15a48546x523S10040564x526S21100571x509S23100589x524S2f710595x511,rask
aske,M563x538S18514468x519S1851c505x519S21100506x508S21100482x509S26606533x520S26612433x522S30350483x495S30350508x496,aske
reagere,M553x516S26502487x491S26706487x500S17710463x500S15a18448x489S14c10530x484,reagere
reagere,M558x521S26502490x491S26606491x501S10002456x490S15a48442x480S14c02527x498,reagere
reaksjon,M553x516S26502487x491S26706487x500S17710463x500S15a18448x489S14c10530x484,reaksjon
reaksjon,M558x521S26502490x491S26606491x501S10002456x490S15a48442x480S14c02527x498,reaksjon
reaksjon motor,M554x563S15a48470x442S17710482x445S26606506x446S2f710514x437S10004508x513S1000c480x518S23604515x529S23610446x538S2fb04495x557,reaksjon motor
recessive gener,M532x571S18211507x430S18219468x430S26504509x447S26514475x446S1f110483x519S22b04496x541S2f900483x541S2f900483x550S2f900483x559,recessive gener
rede,M526x529S2a204503x501S2a21c475x501S17130481x485S17138501x485S20500495x472,rede
reduksjon,M551x518S25103503x493S25115472x492S10011530x483S10019449x486,reduksjon
reduksjon,M559x520S22c03503x487S22c15466x487S10011538x481S10019442x482,reduksjon
reduksjon,M555x518S24d03502x487S24d1b470x487S10011534x483S10019446x485,reduksjon
reduksjonsdeling,M534x568S10018486x435S10012504x438S26506483x432S20e00467x432S20e00467x511S15a37479x518S15a41511x545S26605480x525,reduksjonsdeling
redusere,M559x520S22c03503x487S22c15463x487S10011538x481S10019442x482,redusere
redusere,M555x518S24d03502x487S24d1b470x487S10011534x483S10019446x485,redusere
redusere,M514x520S18210491x480S22b04487x490,redusere
redusere,M556x516S28702502x484S28716465x484S10040541x486S10048445x486,redusere
redusere,M539x519S28902492x482S14a10524x492S19208461x500,redusere
redusere,M515x522S15a12486x478S15a16488x510S22a04496x493,redusere
refleks,M520x549S17727500x464S15a08486x452S26500481x472S26704487x473S2f710506x498S14c00483x518,refleks
refleks,M526x531S15a48474x473S27507490x470S10031505x501,refleks
refleks,M512x530S15a00494x471S2e104489x502,refleks
refleksjon,M520x549S17727500x464S15a08486x452S26500481x472S26704487x473S2f710506x498S14c00483x518,refleksjon
refleksjon,M526x531S15a48474x473S27507490x470S10031505x501,refleksjon
refleksjons vinkel,M549x569S15a48470x435S27507486x432S10031501x463S1de59451x537S20500485x533S20500479x551S2d50a499x541S10001528x539,refleksjons vinkel
reflektor,M512x530S15a10493x470S2e100489x501,reflektor
refraksjon,M544x516S10002490x498S1000a456x498S20500485x484S22e04527x498,refraksjon
regel,M514x517S15a00487x484S18210491x502,regel
regel,M520x517S15a00493x484S18210497x502S20500480x498,regel
regelmessig,M570x514S15a40447x486S15a48430x486S26626478x489S26626522x488S22a24465x498S22a24509x499S22a24557x497,regelmessig
regjering,M533x517S26c00506x502S26c10468x502S20350512x484S20350475x484,regjering
regler,M520x514S15a00492x487S18210497x496S20602480x490,regler
regler,M521x522S15a00482x487S18210480x495S20500509x478S22a04508x493S20500509x511,regler
regler,M527x514S15a00485x487S18210488x496S20602473x490S22a04514x488,regler
regn,M536x528S2fb04492x522S26a04509x509S26a14464x511S14c50510x473S14c58465x475,regn
regnbue,M536x570S2fb04492x480S26a04509x467S26a14464x469S14c50510x431S14c58465x433S14c03466x544S2890a494x531,regnbue
regnskap,M540x539S14c20505x462S14c28471x463S22b04508x497S22b14475x499S2fb04491x530S22104528x502S22104461x503S26512461x525S26506522x523,regnskap
regulere,M514x531S1ea40487x470S2a300491x495,regulere
regulering,M514x531S1ea40487x470S2a300491x495,regulering
regulere,M520x518S18210488x503S23600481x483,regulere
regulering,M520x518S18210488x503S23600481x483,regulering
rein,M536x518S2ff00482x483S15240516x470S15248464x470,rein
artikulasjon,M542x531S2ff00482x483S15a12486x519S23000517x512,artikulasjon
reir,M523x534S17130482x480S17138502x480S20500498x466S2a204500x505S2a21c477x506,reir
reise,M542x528S1dc20458x498S26607490x486S1f410513x473S22104484x482,reise
reise,M525x530S11551498x504S11559476x505S26620493x470,reise
reise i sikk sakk,M524x532S11551497x506S11559476x507S27f2a486x469,reise i sikk sakk
reke,M536x517S10a10464x491S26706494x492S21600516x485S21600505x485S21600495x484S21600485x483,reke
reke,M522x519S10a10504x493S10a18479x493S21800504x482S21800479x481,reke
reke,M531x514S1ed40505x495S26602470x498S22120477x487,reke
rekord,M514x540S15a06487x514S22b04490x510S21100493x491S1ed16491x461,rekord
rekord,M554x528S36d00479x500S2890c523x499S2f710542x507S1ed17523x472,rekord
perioder,M530x533S1ec16492x510S26602471x494S26606499x487S26602472x476S26606500x467,perioder
rektangel,M576x510S1ed10502x490S1ed18472x490S26612438x494S26606532x494S22100564x503S22104564x493S22100425x503S22104425x492,rektangel
periodisk system,M562x531S15a10457x491S15a18438x491S15a18518x470S15a18517x504S26606474x497S10e02532x479S10e22531x510,periodisk system
relativistisk,M537x528S15a40483x473S15a48464x472S26626491x501S22a24476x511S22a24524x513,relativistisk
relativitet,M537x528S15a40483x473S15a48464x472S26626491x501S22a24476x511S22a24524x513,relativitet
pinsett,M521x521S1f111480x498S22a07508x487S22100496x479,pinsett
plan,M536x514S15a50465x487S15a36476x495S20e00480x495S26606506x493,plan
planet,M531x533S36d00479x529S25f00514x486S17610515x466,planet
relativitets teori,M557x521S15a40503x375S15a48484x374S26626511x403S22a24496x413S22a24544x415S2ff00482x483S29508522x473S15a12520x509,relativitets teori
planet,M527x534S17600473x507S20300512x494S2b700507x467S2c605500x508,planet
plast,M565x517S17714479x496S1771c502x496S2fb00495x484S2c414435x493S2c405526x492,plast
ren,M528x530S15a37477x499S15a51472x507S21100500x483S26507515x470,ren
polere,M518x515S15a00482x485S20320486x500S21100505x500,polere
renne utover,M527x527S14c21500x501S2830f474x474,renne utover
polspenning,M539x534S10017509x466S1001f461x466S11810512x506S11818470x507S2f900515x497S2f900473x499,polspenning
renter,M533x532S20500491x501S11512503x510S1151a468x517S22b00489x468,renter
porselen,M535x517S1060f480x494S15a00465x485S20c00507x483,porselen
potensial,M512x512S2f900495x488S18210489x497,potensial
reserve,M516x530S15a30485x471S15350501x473S20f00487x502S26a04487x516,reserve
potensialforksjell,M569x519S2f900439x481S2f900473x494S18218432x492S18210464x504S18218517x494S1ed10543x492,potensialforksjell
resistans,M539x515S15a48462x486S15a02480x495S20602511x489S26a02525x488,resistans
potensiell,M515x530S15a06488x494S10000486x500S22b00492x470,potensiell
potensiell,M558x518S30007482x483S10002519x486S28109536x458,potensiell
resistans,M541x514S15a48460x487S11a12479x494S20602513x489S26a02527x487,resistans
potensiell,M512x512S2f900495x488S18210489x497,potensiell
prege,M523x523S20710484x477S11551496x498S11559477x497,prege
prinsipp,M521x516S10002490x501S15a18479x489S20600499x484,prinsipp
projeksjon,M515x542S14c20487x458S26600490x493S21b00507x498S17720485x527,projeksjon
projisere,M517x543S21b00509x498S26600489x493S14c20486x458S17720484x528,projisere
promille,M521x522S22a06499x509S22b03480x493S17610505x479,promille
prosedyre,M540x522S14c01514x479S14c09460x480S28804506x500S2881c482x500,prosedyre
prosent,M521x519S22b03480x495S17610505x481,prosent
prosjectør,M516x543S14c20487x458S26600490x493S21b00508x503S17720484x528,prosjectør
proton,M529x517S10512472x483S20600507x497S15a16475x505,proton
prøve,M514x527S15a36487x493S10e00489x497S20b00494x474,prøve
prøve,M575x519S30006482x483S10e00526x489S20f00549x495S22104547x510S22104562x510,prøve
prøve,M549x518S10e00527x487S26a00522x470S32400482x483,prøve
pulver,M542x525S18514471x489S1851c508x488S26612459x509S26606512x509S21100509x476S21100485x476,pulver
pumpe,M513x517S22f04488x503S20350494x484,pumpe
radar,M555x530S36d00479x520S2e004527x502S14c35529x470,radar
radio,M531x529S17650511x471S17650475x471S2a310470x493S2a308508x492,radio
radio,M542x533S1e121510x468S1e129459x469S2a310459x497S2a308516x494,radio
rakett,M509x532S10020491x502S25e00493x468,rakett
rakett,M516x534S20e00502x500S25e00500x466S15a30484x488S10050490x504,rakett
rapport,M514x540S15a06487x469S15a00492x461S21100491x492S22b04489x510,rapport
ras,M541x538S14c03514x483S14c0d485x463S22523499x500S22523470x481S25e23460x511,ras
ras,M539x535S14c52508x493S14c5e486x466S22513497x508S22513473x481S25e23461x508,ras
astma,M556x552S26500542x534S14c02479x529S26500516x533S34c00482x482S33806508x499S33802479x500,astma
resonans,M536x532S2fb04494x526S26a02522x498S26a16465x498S2f900508x502S2f900508x516S2f900484x502S2f900483x517S15a40522x468S15a48467x469,resonans
ressurs,M550x540S20300505x525S20300480x525S26603515x499S26615462x498S14c50526x461S14c58450x461,ressurs
ressurs,M508x540S26200492x480S20300493x460S15350493x515,ressurs
rest,M533x514S15a1a468x497S15a40487x487S20e00503x498S26506518x497,rest
resultat,M526x529S15a18475x481S15211484x471S21100513x489S18517489x502S22a04513x504,resultat
retning,M530x528S21100492x493S15a37475x477S15a41507x505S26601471x472,retning
retningsventil,M534x566S21100496x456S15a37479x440S15a41511x468S26601475x435S20500491x538S1001a467x551S10011501x534S22130487x520,retningsventil
rev,M524x518S2ff20476x483S14c54488x458S26600493x424S22100509x437,rev
rev,M543x519S33010479x483S10a20517x493S2b700521x468,rev
rev bak øret,M543x519S33010479x483S10a20517x493S2b700521x468,rev bak øret
revidere,M536x596S2ff00482x483S2f900488x494S2f900501x494S11820512x528S11828465x527S22b04520x560S22b14464x558S2fb04491x590,revidere
revir,M528x522S15a02473x479S20320513x491S2e732493x506,revir
revisjon,M536x596S2ff00482x483S2f900488x494S2f900501x494S11820512x528S11828465x527S22b04520x560S22b14464x558S2fb04491x590,revisjon
revisor,M536x596S2ff00482x483S2f900488x494S2f900501x494S11820512x528S11828465x527S22b04520x560S22b14464x558S2fb04491x590,revisor
revisor,M536x679S2ff00482x483S2f900488x494S2f900501x494S11820512x528S11828465x527S22b04520x560S22b14464x558S2fb04491x590S1ed26491x619S22b04491x649,revisor
revmatisme,M520x521S1000a481x506S15310505x494S20700481x480,revmatisme
ri,M523x543S15a48480x516S10e04478x493S26620478x457S20700505x510,ri
ribbe,M574x531S36d00479x469S21212507x485S26f06524x489S10002544x495,ribbe
ribbe,M566x525S21200485x493S21200485x511S26a12467x495S26a06518x496S1f110537x499S1f118434x499S36d00479x475,ribbe
ribbein,M574x531S36d00479x469S21212507x485S26f06524x489S10002544x495,ribbein
ribbein,M566x525S21200485x493S21200485x511S26a12467x495S26a06518x496S1f110537x499S1f118434x499S36d00479x475,ribbein
ride instruktør,M530x604S15a48484x452S10e04482x429S26620482x397S20700501x459S2fb00492x549S26a00503x558S26a10471x558S18537476x577S18537509x577,ride instruktør
ridebane,M519x580S15a48484x475S10e04482x452S26620482x420S20700501x482S15a12483x549S2e702485x565,ridebane
ridehus,M536x577S15a48487x479S10e04485x456S26620485x424S20700504x486S15a11502x543S15a19475x541S22a05523x563S22a13465x561,ridehus
rier,M534x535S22f03502x505S22f15476x506S2f900505x491S2f900485x493S20303513x491S20301465x494S36d00479x531S36d00480x465,rier
rik,M539x518S2ff20476x483S15332514x472S26600519x438,rik
riktig,M514x530S15a36487x508S15a40499x503S20500500x489S22a04499x470,riktig
riktig,M514x529S15a36487x517S15a40496x471S20500496x517S22a04496x501,riktig
rips,M548x551S11a20481x450S17710481x529S1000a452x536S2c400508x523S20700474x509,rips
ripsbær,M548x551S11a20481x450S17710481x529S1001a452x536S2c400508x523S20700474x509,ripsbær
ris,M537x529S20700463x472S17710470x492S10018469x499S2c400497x486,ris
ro,M534x530S2f804482x519S26612467x501S26606504x501S15a50505x471S15a50488x471,ro
robot,M526x568S14c01500x432S14c09474x432S28804502x456S2881c489x456S1ed26495x524S22a04497x553,robot
rognetre,M526x568S11a20476x432S37800486x525S14c10475x494S15a16477x556S2e104503x526,rognetre
rolig,M534x530S2f804482x519S26612467x501S26606504x501S15a50505x471S15a50488x471,rolig
rom,M537x532S10004507x502S1000c479x502S27a0e509x468S27a16464x468,rom
rom,M541x527S10004507x474S1000c479x474S27a0e513x498S27a16460x498,rom
rom fart,M535x577S36d00479x464S14c21482x429S2890a506x423S11558483x547S11552488x544S25e07501x512,rom fart
rom skip,M535x576S36d00479x466S14c21482x431S2890a506x425S18527496x549S25f00493x505,rom skip
rom sonde,M539x535S36d00479x401S14c21482x368S2890a506x364S2ff00484x483S10e00496x505S2e305516x512,rom sonde
rominnhold,M545x514S26a02507x486S26a16479x487S16d10528x489S16d18456x489,rominnhold
rosa,M533x530S2ff00482x483S21100498x498S15a10521x503,rosa
rosa,M539x521S2ff00482x483S21100499x498S18232524x498,rosa
rose,M522x563S33100482x483S22b00493x510S17706493x543S22100510x520,rose
rosin,M541x522S1001a459x507S17710490x499S20700479x479S2c300515x493,rosin
rot,M518x517S15312482x502S22a04490x484S22104506x486,rot
rot,M518x530S15312482x515S22a04490x497S22104506x499S17742490x470,rot
rot,M519x536S15a12482x465S1ed26488x476S22b04487x506S22104507x519,rot
rot,M519x552S15a12482x449S1ed26488x460S22b04487x490S22104507x503S1eb17490x525,rot
rot,M537x518S1531a463x483S15316463x503S2ea02497x483S2ea46498x502S2fb06531x493,rot
rot,M520x528S15a12481x472S1ef16489x480S22a04490x513S22104508x517,rot
rot,M520x544S15a12481x457S1ef16489x465S22a04490x498S22104508x502S1f416490x515,rot
rot,M518x550S14c10483x450S37800494x480S1501b482x502S26514489x535S22100506x542,rot
rot fibre,M531x578S15a12469x423S15a12471x528S1ef16478x430S22a04481x463S22104500x462S22a03471x545S22a05489x545S1f417510x548,rot fibre
rotfylle tann,M522x576S15a12479x425S22104510x464S1ef16488x432S22a04491x465S15a12481x528S22a00490x543S18210485x561,rotfylle tann
rotte,M524x528S2fb04493x522S22a04510x507S22a14476x508S10040509x473S10048476x475,rotte
rotte,M530x513S11813505x488S29202470x495,rotte
bevares,M541x572S10031483x428S10059487x443S2a21e500x465S26606511x556S2a206476x464S15a37494x528S15a3f480x527S26612459x556S20e00494x558,bevares
forandre,M523x540S10031485x461S10059489x476S2a21e502x498S2a206478x497S21100494x526,forandre
rov ,M540x527S36d00479x517S15320525x502S2f710527x491S26601498x483S22104493x472S2f900519x476,rov
rov ,M540x532S36d00479x522S15320525x507S2f710527x496S26601498x488S2f900514x476S20320487x467,rov
rovdyr,M540x527S36d00479x517S15320525x502S2f710527x491S26601498x483S22104493x472S2f900519x476,rovdyr
ruge,M519x526S17150481x487S17158501x487S20500495x475S22a24494x511,ruge
rumle i magen,M521x532S36d00479x528S21100495x512S15002481x487S36d00479x469,rumle i magen
rust,M524x520S15a16479x508S15012476x481S20e00512x499,rust
rygg,M524x546S2ff20476x483S20500495x521S15a42490x534,rygg
rygg rad,M524x654S2ff20476x483S20500496x521S15a42488x537S1f126492x579S22c04492x612,rygg rad
rytme,M530x534S15a10490x467S15a18471x467S28a26493x496S28a2e494x517,rytme
rytter,M518x588S15a48482x475S10e04482x450S20700500x475S26620482x413S1ed16482x527S22b04482x558,rytter
røde hunder,M542x622S33b00477x482S21202494x511S26a02476x513S10012512x518S36d00481x584S20600492x594S15306490x607,røde hunder
rødme,M530x548S2ff00482x483S21100502x492S22a00503x509S17716502x528S22100518x508,rødme
rødspette,M545x632S33b00482x483S21100497x512S26502478x513S10012515x520S15a50493x605S2830f466x578,rødspette
røtgen,M524x536S14c08477x468S14c50477x505S20700506x465S26600507x485,røtgen
røtgen bilde,M563x561S14c08483x442S14c50483x479S20700512x439S26600513x459S1ed10503x540S1ed18472x539S26512451x543S26506534x544S22104551x542S22100551x553S22100439x554S22104438x543,røtgen bilde
røst,M523x540S36a00482x477S18200500x525,røst
røtter,M529x529S15a12472x471S1ed26477x484S22f04478x515S22124507x517,røtter
røtter,M526x523S22124504x511S1ed26474x478S22f04475x509,røtter
røtter,M537x524S1ed26464x476S22a04466x509S22a04506x508S22104488x512S22104525x511S26506491x492,røtter
røyk,M530x539S29607492x488S14c04470x508S17712504x462S22100518x513,røyk
ra,M530x542S30004482x483S1f502480x518S21100499x523S26506515x523,ra
ra,M518x534S2ff00482x483S1f510486x519S21100487x501S26506501x500,ra
ra stoff,M534x575S26603486x458S14c50506x426S20300475x483S18514473x537S1851c504x536S21100503x526S21100487x527S26612467x558S26606504x559,ra stoff
ra varer,M569x598S22b00492x427S15050487x464S17757492x402S26626489x553S2a210431x565S2a208459x565S2a210518x564S2a208546x564S2fb04537x592S2fb04449x591S15310463x532S15318438x531,ra varer
radyr,M544x518S2ff00482x483S1f110515x477S1f118456x479S22a00525x457S22a10465x459,radyr
ratten,M530x518S17d14471x503S17d1c507x503S22124508x492S22124471x492S2fb00494x482,ratten
saft,M521x523S16d40492x479S16d48489x503S21600511x512S2f900510x503S21600481x486S2f900480x478,saft
saftig,M521x523S16d40492x479S16d48489x503S21600511x512S2f900510x503S21600481x486S2f900480x478,saftig
saks,M529x508S10e02499x493S22714472x494,saks
sal,M537x533S10004507x502S1000c481x503S27a0e509x468S27a16464x469,sal
